Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
=187,KTH Royal Institute of TechnologySwedenCoursesVerify Documents,"12,486",15.4,18%,33 : 67,=187,54.2,43.7,44.6,66.4,50.4,86.3,2019
189,University of KonstanzGermanyCourses,"11,288",52.3,12%,55 : 45,189,54.1,39.4,45.1,74.2,69.6,63.7,2019
189,Shanghai Jiao Tong UniversityChinaCoursesExplore,"40,711",11.0,9%,41 : 59,189,54.1,60.2,54.8,46.2,78.5,49.9,2019
=190,University of Duisburg-EssenGermanyCoursesExplore,"42,931",54.7,18%,48 : 52,=190,54.0,35.3,32.2,91.9,71.2,58.9,2019
=190,University of East AngliaUnited KingdomCoursesExplore,"13,984",13.6,29%,61 : 39,=190,54.0,28.2,30.9,96.2,35.3,87.4,2019
=190,Western UniversityCanadaCoursesEnquire,"29,732",22.9,17%,56 : 44,=190,54.0,41.5,36.1,78.0,59.8,77.6,2019
=194,Aalborg UniversityDenmarkCoursesExplore,"16,021",13.7,14%,,=194,53.9,30.7,37.7,88.9,47.1,73.9,2019
=194,Paris Diderot University – Paris 7FranceCourses,"28,918",15.0,20%,63 : 37,=194,53.9,46.4,19.5,93.1,34.0,72.0,2019
196,University of Technology SydneyAustraliaCoursesExplore,"25,637",43.4,36%,51 : 49,196,53.6,32.2,41.8,76.4,52.2,95.4,2019
197,University of BergenNorwayCourses,"13,116",12.3,14%,59 : 41,197,53.3,30.7,30.6,94.0,36.5,77.9,2019
198,Korea UniversitySouth KoreaCoursesExplore,"22,705",15.6,21%,,198,53.2,48.4,50.1,58.1,98.3,50.7,2019
=199,University of CalgaryCanadaCoursesEnquire,"27,489",15.7,19%,,=199,53.1,34.6,34.4,84.1,55.7,76.6,2019
=199,Lomonosov Moscow State UniversityRussian FederationCourses,"29,063",7.2,25%,50 : 50,=199,53.1,77.7,59.8,16.2,89.1,63.7,2019
201–250,University of AntwerpBelgiumCoursesVerify Documents,"15,096",29.6,16%,54 : 46,201–250,49.5–53.0,35.1,38.0,75.2,74.5,67.9,2019
201–250,University of AucklandNew ZealandCoursesExplore,"30,041",18.4,30%,54 : 46,201–250,49.5–53.0,30.1,40.7,76.5,61.6,91.7,2019
201–250,University of BarcelonaSpainCoursesExplore,"46,002",11.9,10%,62 : 38,201–250,49.5–53.0,37.7,32.3,85.1,40.1,52.6,2019
201–250,University of BathUnited KingdomCoursesEnquireAdmissions Support,"13,199",16.6,33%,46 : 54,201–250,49.5–53.0,32.0,31.7,77.8,38.2,89.8,2019
201–250,Bielefeld UniversityGermanyCourses,"24,255",64.3,8%,57 : 43,201–250,49.5–53.0,35.4,40.0,79.3,53.4,46.4,2019
201–250,Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support,"5,385",12.5,26%,55 : 45,201–250,49.5–53.0,28.5,23.6,99.9,34.6,52.4,2019
201–250,University at BuffaloUnited StatesCoursesEnquire,"25,419",17.1,17%,45 : 55,201–250,49.5–53.0,40.7,34.6,73.1,43.3,63.8,2019
201–250,"University of California, RiversideUnited StatesCoursesEnquire","20,864",19.6,14%,52 : 48,201–250,49.5–53.0,29.5,31.6,92.0,41.0,65.6,2019
201–250,Chalmers University of TechnologySwedenCoursesVerify Documents,"9,257",12.4,17%,32 : 68,201–250,49.5–53.0,41.1,40.7,60.7,71.0,81.5,2019
201–250,Copenhagen Business SchoolDenmarkCoursesVerify Documents,"17,003",30.6,25%,48 : 52,201–250,49.5–53.0,24.8,32.3,88.0,41.3,92.2,2019
201–250,University of DundeeUnited KingdomCoursesEnquire,"10,960",15.5,23%,62 : 38,201–250,49.5–53.0,23.7,30.5,94.1,46.8,80.3,2019
201–250,École des Ponts ParisTechFranceCoursesVerify Documents,"1,943",13.4,47%,31 : 69,201–250,49.5–53.0,40.1,25.6,76.8,59.8,82.7,2019
201–250,École Normale Supérieure de LyonFranceCourses,"2,207",8.2,13%,46 : 54,201–250,49.5–53.0,42.7,41.2,70.3,43.7,64.9,2019
201–250,University of FribourgSwitzerlandCourses,"10,850",45.6,18%,59 : 41,201–250,49.5–53.0,33.9,34.4,73.3,60.3,87.5,2019
201–250,University of GothenburgSwedenCoursesVerify Documents,"18,873",9.9,12%,,201–250,49.5–53.0,25.8,39.8,92.0,39.4,62.9,2019
201–250,University of Hawai’i at MānoaUnited StatesCoursesEnquire,"15,750",11.0,11%,56 : 44,201–250,49.5–53.0,35.5,37.1,75.0,50.6,64.4,2019
201–250,Hebrew University of JerusalemIsraelCourses,"16,492",11.5,5%,56 : 44,201–250,49.5–53.0,45.0,44.0,64.9,40.6,59.4,2019
201–250,University of HohenheimGermanyCoursesVerify Documents,"9,373",41.8,15%,57 : 43,201–250,49.5–53.0,33.3,29.2,86.0,56.8,54.5,2019
201–250,University of IowaUnited StatesCoursesEnquire,"27,897",12.3,13%,52 : 48,201–250,49.5–53.0,42.9,33.8,81.3,54.6,37.1,2019
201–250,James Cook UniversityAustraliaCoursesEnquire,"11,882",22.3,12%,63 : 37,201–250,49.5–53.0,23.5,27.2,91.9,41.9,75.4,2019
201–250,University of KielGermanyCoursesVerify Documents,"25,957",22.2,8%,53 : 47,201–250,49.5–53.0,30.9,27.0,92.8,34.0,54.1,2019
201–250,King Abdulaziz UniversitySaudi ArabiaCoursesExplore,"33,111",8.0,21%,55 : 45,201–250,49.5–53.0,27.8,16.3,99.0,77.2,92.9,2019
201–250,Université Libre de BruxellesBelgiumCoursesVerify Documents,"26,936",35.9,35%,55 : 45,201–250,49.5–53.0,29.4,41.8,79.9,43.6,85.9,2019
201–250,University of LuxembourgLuxembourgCourses,"4,969",16.5,57%,50 : 50,201–250,49.5–53.0,29.5,30.6,87.7,42.8,99.7,2019
201–250,Macquarie UniversityAustraliaCoursesExplore,"28,729",43.8,26%,53 : 47,201–250,49.5–53.0,33.4,37.3,71.3,46.2,81.6,2019
201–250,University of MassachusettsUnited StatesCoursesEnquire,"59,906",12.8,14%,48 : 52,201–250,49.5–53.0,36.6,28.7,89.5,50.0,58.4,2019
201–250,Medical University of GrazAustriaCourses,"3,368",10.7,23%,53 : 47,201–250,49.5–53.0,30.2,24.4,89.0,63.3,73.2,2019
201–250,Medical University of ViennaAustriaCourses,"7,086",7.9,29%,51 : 49,201–250,49.5–53.0,32.1,21.9,90.5,49.7,78.8,2019
201–250,University of MiamiUnited StatesCoursesEnquireAdmissions Support,"15,923",5.9,16%,51 : 49,201–250,49.5–53.0,41.6,25.2,86.2,39.3,60.4,2019
201–250,University of OtagoNew ZealandCourses,"18,283",20.1,20%,58 : 42,201–250,49.5–53.0,27.9,30.7,82.6,37.4,89.5,2019
201–250,University of PaduaItalyCourses,"43,289",20.9,4%,55 : 45,201–250,49.5–53.0,39.9,27.7,83.7,37.5,42.4,2019
201–250,Paris-Sud UniversityFranceCourses,"29,509",16.3,17%,56 : 44,201–250,49.5–53.0,36.5,33.7,87.6,34.3,64.5,2019
201–250,University of PassauGermanyCourses,"10,465",72.2,11%,60 : 40,201–250,49.5–53.0,31.4,35.9,89.1,44.3,57.0,2019
201–250,University of PotsdamGermanyCoursesExplore,"19,294",56.8,10%,59 : 41,201–250,49.5–53.0,37.2,39.2,74.3,43.1,55.3,2019
201–250,Queen’s University BelfastUnited KingdomCoursesExplore,"17,657",16.9,35%,55 : 45,201–250,49.5–53.0,27.5,32.6,87.6,38.7,96.3,2019
201–250,Queensland University of TechnologyAustraliaCoursesExplore,"33,931",35.3,16%,54 : 46,201–250,49.5–53.0,28.6,37.9,81.3,56.7,79.9,2019
201–250,RCSI University of Medicine and Health SciencesIrelandCoursesExplore,"2,202",19.1,68%,,201–250,49.5–53.0,30.7,24.5,91.3,45.7,91.5,2019
201–250,University of ReadingUnited KingdomCoursesEnquire,"13,394",14.3,33%,57 : 43,201–250,49.5–53.0,34.3,34.3,75.8,39.0,91.2,2019
201–250,University of South AustraliaAustraliaCoursesEnquire,"17,465",26.1,44%,64 : 36,201–250,49.5–53.0,30.5,37.1,68.1,79.7,92.9,2019
201–250,University of TampereFinlandCourses,"9,484",21.8,5%,66 : 34,201–250,49.5–53.0,28.0,32.5,91.0,50.7,43.7,2019
201–250,Tel Aviv UniversityIsraelCourses,"22,878",22.9,5%,54 : 46,201–250,49.5–53.0,43.3,52.0,64.4,43.5,51.2,2019
201–250,Tilburg UniversityNetherlandsCoursesExplore,"7,666",21.2,14%,48 : 52,201–250,49.5–53.0,38.7,48.1,66.2,54.3,76.6,2019
201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaCoursesExplore,"4,255",13.5,8%,27 : 73,201–250,49.5–53.0,24.5,34.5,96.3,70.1,49.7,2019
201–250,University College DublinIrelandCourses,"22,081",23.5,27%,,201–250,49.5–53.0,30.7,36.6,76.4,40.6,91.3,2019
201–250,University of UtahUnited StatesCoursesEnquire,"30,036",14.1,9%,45 : 55,201–250,49.5–53.0,36.5,33.7,88.9,40.7,33.4,2019
201–250,Vita-Salute San Raffaele UniversityItalyCourses,"2,745",7.3,5%,59 : 41,201–250,49.5–53.0,36.5,23.8,97.1,35.1,46.0,2019
201–250,University of WaterlooCanadaCoursesExplore,"32,395",23.7,18%,46 : 54,201–250,49.5–53.0,32.2,39.7,69.3,43.3,82.4,2019
201–250,William & MaryUnited StatesCoursesEnquireAdmissions Support,"8,098",11.8,9%,55 : 45,201–250,49.5–53.0,47.8,19.8,86.7,34.6,34.5,2019
201–250,University of the WitwatersrandSouth AfricaCoursesExplore,"28,279",26.1,8%,56 : 44,201–250,49.5–53.0,27.7,40.8,81.0,100.0,74.2,2019
201–250,University of WollongongAustraliaCoursesExplore,"18,209",31.2,26%,51 : 49,201–250,49.5–53.0,30.3,33.5,75.7,52.8,90.9,2019
201–250,Yonsei University (Seoul campus)South KoreaCoursesExplore,"17,875",14.7,22%,46 : 54,201–250,49.5–53.0,50.8,51.1,50.6,97.2,56.9,2019
251–300,Brighton and Sussex Medical SchoolUnited KingdomCoursesEnquire,795,11.3,15%,57 : 43,251–300,46.4–49.4,21.0,19.0,100.0,34.0,74.2,2019
251–300,University of CanberraAustraliaCoursesExplore,"10,098",29.2,29%,52 : 48,251–300,46.4–49.4,20.0,27.7,95.0,37.4,68.0,2019
251–300,University of Cincinnati – UptownUnited StatesCoursesEnquire,"28,049",20.5,9%,52 : 48,251–300,46.4–49.4,37.2,31.0,82.6,40.5,39.8,2019
251–300,Clark UniversityUnited StatesCoursesEnquire,"3,136",11.9,25%,60 : 40,251–300,46.4–49.4,25.1,25.5,89.2,34.3,58.9,2019
251–300,Colorado School of MinesUnited StatesCoursesEnquire,"5,556",16.7,12%,28 : 72,251–300,46.4–49.4,32.9,27.8,84.4,50.5,42.7,2019
251–300,Dalhousie UniversityCanadaCoursesEnquire,"15,150",14.7,21%,55 : 45,251–300,46.4–49.4,25.5,29.0,79.0,45.6,83.7,2019
251–300,University of DelawareUnited StatesCoursesEnquire,"20,348",16.9,10%,57 : 43,251–300,46.4–49.4,28.5,37.4,77.4,91.5,46.2,2019
251–300,University of EssexUnited KingdomCoursesEnquire,"11,132",15.7,41%,55 : 45,251–300,46.4–49.4,31.8,31.7,68.3,34.8,96.6,2019
251–300,Flinders UniversityAustraliaCoursesExplore,"15,939",24.1,31%,64 : 36,251–300,46.4–49.4,25.7,29.6,78.7,37.6,86.7,2019
251–300,Florida State UniversityUnited StatesCoursesEnquire,"38,661",24.5,7%,56 : 44,251–300,46.4–49.4,38.4,40.0,70.9,39.5,43.0,2019
251–300,Goethe University FrankfurtGermanyCourses,"45,826",19.9,15%,57 : 43,251–300,46.4–49.4,34.0,29.6,76.5,43.8,59.1,2019
251–300,Griffith UniversityAustraliaCoursesExplore,"31,574",22.2,19%,57 : 43,251–300,46.4–49.4,24.5,31.3,79.9,42.8,82.9,2019
251–300,University of IcelandIcelandCourses,"8,276",14.1,11%,66 : 34,251–300,46.4–49.4,19.3,29.6,86.9,57.9,62.6,2019
251–300,University of Illinois at ChicagoUnited StatesCoursesEnquire,"25,705",11.2,19%,52 : 48,251–300,46.4–49.4,44.6,30.8,71.4,42.7,55.3,2019
251–300,Indian Institute of ScienceIndiaCourses,"4,071",9.4,1%,21 : 79,251–300,46.4–49.4,56.7,51.4,41.7,50.7,20.2,2019
251–300,Jacobs UniversityGermanyCoursesExplore,"1,114",16.6,69%,44 : 56,251–300,46.4–49.4,40.7,33.0,62.4,60.0,83.1,2019
251–300,Johannes Gutenberg University of MainzGermanyCourses,"32,359",28.0,11%,59 : 41,251–300,46.4–49.4,36.7,23.0,80.3,64.0,55.8,2019
251–300,Université LavalCanadaCoursesExplore,"29,588",16.9,13%,57 : 43,251–300,46.4–49.4,38.7,29.5,69.9,58.8,68.7,2019
251–300,University of MarburgGermanyCourses,"25,942",35.7,10%,55 : 45,251–300,46.4–49.4,36.1,25.7,81.6,38.8,50.9,2019
251–300,Moscow Institute of Physics and Technology (MIPT)Russian FederationCourses,"5,687",10.5,15%,19 : 81,251–300,46.4–49.4,50.4,43.5,47.6,99.9,59.1,2019
251–300,University of NavarraSpainCoursesVerify Documents,"10,717",14.7,20%,53 : 47,251–300,46.4–49.4,34.1,24.2,82.0,66.6,63.2,2019
251–300,North Carolina State UniversityUnited StatesCoursesEnquire,"30,190",12.8,14%,45 : 55,251–300,46.4–49.4,37.3,34.3,69.8,43.4,55.9,2019
251–300,Oregon Health and Science UniversityUnited StatesCoursesEnquire,"2,899",1.0,3%,65 : 35,251–300,46.4–49.4,35.1,16.5,99.5,45.0,25.6,2019
251–300,Osaka UniversityJapanCourses,"23,173",7.8,10%,31 : 69,251–300,46.4–49.4,54.7,51.2,35.7,58.4,33.4,2019
251–300,University of OuluFinlandCoursesExplore,"9,764",23.5,7%,50 : 50,251–300,46.4–49.4,32.5,31.3,75.1,42.0,53.7,2019
251–300,Queen’s UniversityCanadaCoursesEnquireExplore,"22,884",24.7,12%,58 : 42,251–300,46.4–49.4,39.3,34.4,65.5,44.7,65.3,2019
251–300,"Royal Holloway, University of LondonUnited KingdomCoursesEnquire","9,099",14.9,39%,60 : 40,251–300,46.4–49.4,30.4,26.7,80.0,37.3,92.9,2019
251–300,Ruhr University BochumGermanyCourses,"42,425",61.2,14%,49 : 51,251–300,46.4–49.4,38.6,42.9,59.9,56.7,53.8,2019
251–300,"St George’s, University of LondonUnited KingdomCoursesEnquire","3,240",15.3,19%,62 : 38,251–300,46.4–49.4,21.6,21.3,99.1,36.5,73.2,2019
251–300,University of São PauloBrazilCourses,"82,962",15.3,4%,48 : 52,251–300,46.4–49.4,55.9,53.5,37.0,39.5,32.7,2019
251–300,Sapienza University of RomeItalyCourses,"68,282",21.8,6%,57 : 43,251–300,46.4–49.4,38.0,38.3,70.4,44.2,39.6,2019
251–300,Simon Fraser UniversityCanadaCoursesExplore,"26,313",27.3,30%,55 : 45,251–300,46.4–49.4,24.6,33.4,75.4,47.0,91.2,2019
251–300,University of Southern DenmarkDenmarkCourses,"25,975",14.3,16%,53 : 47,251–300,46.4–49.4,19.6,26.1,86.5,68.1,79.1,2019
251–300,University of South Florida (Tampa)United StatesCoursesEnquire,"33,413",18.8,13%,,251–300,46.4–49.4,30.6,36.4,76.1,87.2,50.7,2019
251–300,Stony Brook UniversityUnited StatesCoursesEnquire,"23,722",10.6,23%,49 : 51,251–300,46.4–49.4,34.2,22.4,83.8,35.7,70.2,2019
251–300,University of StuttgartGermanyCoursesVerify Documents,"26,697",47.1,20%,32 : 68,251–300,46.4–49.4,42.0,47.5,56.1,62.6,53.1,2019
251–300,University of SurreyUnited KingdomCoursesExplore,"11,987",15.6,40%,53 : 47,251–300,46.4–49.4,32.0,32.6,72.2,47.7,93.2,2019
251–300,Swansea UniversityUnited KingdomCoursesEnquire,"14,978",16.5,23%,45 : 55,251–300,46.4–49.4,22.1,24.8,91.1,36.2,82.0,2019
251–300,Swedish University of Agricultural SciencesSwedenCoursesVerify Documents,"3,745",4.4,4%,69 : 31,251–300,46.4–49.4,32.5,29.1,78.3,95.7,47.2,2019
251–300,Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support,"20,277",16.0,20%,53 : 47,251–300,46.4–49.4,32.0,28.3,79.2,40.6,48.3,2019
251–300,Technical University of DarmstadtGermanyCourses,"18,221",40.7,16%,30 : 70,251–300,46.4–49.4,41.3,43.6,58.0,87.9,56.4,2019
251–300,University of Texas at DallasUnited StatesCoursesExplore,"20,787",21.6,25%,43 : 57,251–300,46.4–49.4,23.7,28.6,87.5,41.6,59.5,2019
251–300,Tohoku UniversityJapanCourses,"17,687",5.5,11%,26 : 74,251–300,46.4–49.4,53.0,47.7,46.1,71.9,37.0,2019
251–300,Tokyo Institute of TechnologyJapanCourses,"9,612",7.5,14%,14 : 86,251–300,46.4–49.4,54.3,52.7,39.9,68.1,39.4,2019
251–300,University of TrentoItalyCourses,"12,856",20.2,8%,51 : 49,251–300,46.4–49.4,25.4,30.5,85.2,41.3,58.2,2019
251–300,TU WienAustriaCourses,"17,827",34.0,29%,29 : 71,251–300,46.4–49.4,40.2,36.6,52.7,66.7,82.9,2019
251–300,Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore,"32,296",18.5,14%,43 : 57,251–300,46.4–49.4,34.8,39.8,70.2,48.2,52.4,2019
251–300,Vrije Universiteit BrusselBelgiumCoursesVerify Documents,"11,101",27.8,22%,54 : 46,251–300,46.4–49.4,35.4,36.1,66.4,57.9,74.1,2019
251–300,Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support,"7,588",4.0,7%,52 : 48,251–300,46.4–49.4,41.3,18.4,87.8,44.1,29.3,2019
301–350,Aix-Marseille UniversityFranceCourses,"69,147",17.1,11%,58 : 42,301–350,44.0–46.3,40.6,22.4,68.4,37.4,58.7,2019
301–350,University of Alaska FairbanksUnited StatesCoursesEnquire,"3,667",8.4,6%,50 : 50,301–350,44.0–46.3,27.9,24.9,76.9,44.9,53.4,2019
301–350,Alfaisal UniversitySaudi ArabiaCoursesExplore,"2,407",10.6,40%,58 : 42,301–350,44.0–46.3,19.3,23.0,78.1,53.6,98.7,2019
301–350,American UniversityUnited StatesCoursesEnquire,"10,790",10.8,13%,65 : 35,301–350,44.0–46.3,43.1,21.7,76.6,39.4,33.5,2019
301–350,Anglia Ruskin University ARUUnited KingdomCoursesEnquire,"16,498",22.5,28%,61 : 39,301–350,44.0–46.3,15.3,12.8,98.7,34.7,79.0,2019
301–350,Auckland University of TechnologyNew ZealandCoursesExplore,"18,160",17.5,44%,59 : 41,301–350,44.0–46.3,17.3,16.6,91.4,35.6,96.0,2019
301–350,University of BayreuthGermanyCoursesVerify Documents,"12,784",36.7,8%,45 : 55,301–350,44.0–46.3,35.1,31.2,65.6,56.8,55.2,2019
301–350,"Birkbeck, University of LondonUnited KingdomCoursesEnquire","8,242",16.1,40%,53 : 47,301–350,44.0–46.3,27.9,31.4,66.9,34.2,87.5,2019
301–350,Boston CollegeUnited StatesCoursesEnquireAdmissions Support,"13,035",15.9,14%,55 : 45,301–350,44.0–46.3,36.1,25.3,72.3,45.2,57.6,2019
301–350,University of BremenGermanyCoursesVerify Documents,"19,173",31.4,11%,50 : 50,301–350,44.0–46.3,36.2,35.1,60.4,48.5,53.8,2019
301–350,University of CanterburyNew ZealandCoursesEnquireExplore,"12,492",17.2,22%,49 : 51,301–350,44.0–46.3,22.4,26.6,74.9,36.7,92.1,2019
301–350,University of Colorado Denver/Anschutz Medical CampusUnited StatesCoursesEnquire,"17,853",5.4,7%,56 : 44,301–350,44.0–46.3,33.6,13.9,96.1,34.0,28.8,2019
301–350,University of ConnecticutUnited StatesCoursesEnquire,"30,356",14.6,8%,53 : 47,301–350,44.0–46.3,36.7,29.8,67.3,37.1,46.1,2019
301–350,Curtin UniversityAustraliaCoursesExplore,"30,904",18.3,35%,51 : 49,301–350,44.0–46.3,20.6,25.7,74.8,41.6,94.9,2019
301–350,Cyprus University of TechnologyCyprusCourses,"3,114",17.7,8%,56 : 44,301–350,44.0–46.3,15.8,14.9,95.5,35.3,70.6,2019
301–350,University of DenverUnited StatesCoursesEnquire,"9,421",13.2,10%,57 : 43,301–350,44.0–46.3,40.2,21.5,76.2,35.3,28.0,2019
301–350,Federal University of Toulouse Midi-PyrénéesFranceCourses,"101,658",25.0,18%,52 : 48,301–350,44.0–46.3,31.9,30.6,64.5,37.4,72.1,2019
301–350,George Mason UniversityUnited StatesCoursesEnquire,"28,261",17.7,9%,54 : 46,301–350,44.0–46.3,29.0,25.8,79.3,35.3,44.1,2019
301–350,Grenoble Alpes UniversityFranceCourses,"40,758",17.5,13%,53 : 47,301–350,44.0–46.3,32.4,27.8,75.1,35.6,59.4,2019
301–350,Heriot-Watt UniversityUnited KingdomCoursesEnquire,"9,158",16.7,38%,41 : 59,301–350,44.0–46.3,27.1,23.0,73.0,41.2,94.1,2019
301–350,University of HoustonUnited StatesCoursesEnquire,"42,962",43.6,10%,50 : 50,301–350,44.0–46.3,38.8,32.4,61.6,38.3,42.1,2019
301–350,HSE UniversityRussian FederationCourses,"19,527",11.3,9%,,301–350,44.0–46.3,32.8,32.7,72.7,56.6,40.5,2019
301–350,Khalifa UniversityUnited Arab EmiratesCoursesExplore,"3,288",8.1,28%,51 : 49,301–350,44.0–46.3,25.3,29.1,65.3,100.0,96.4,2019
301–350,La Trobe UniversityAustraliaCoursesEnquire,"21,203",34.8,28%,62 : 38,301–350,44.0–46.3,25.2,32.5,65.4,54.1,81.7,2019
301–350,University of LiègeBelgiumCoursesVerify Documents,"20,730",26.5,21%,56 : 44,301–350,44.0–46.3,29.8,37.0,60.1,98.2,69.8,2019
301–350,University of MalayaMalaysiaCourses,"17,095",8.9,23%,57 : 43,301–350,44.0–46.3,37.0,27.1,59.1,52.3,85.0,2019
301–350,University of MilanItalyCourses,"46,843",23.0,6%,59 : 41,301–350,44.0–46.3,33.4,27.0,76.5,44.0,42.1,2019
301–350,Montpellier UniversityFranceCourses,"39,837",19.9,14%,53 : 47,301–350,44.0–46.3,36.9,20.8,73.0,37.0,60.3,2019
301–350,Nagoya UniversityJapanCourses,"15,630",9.2,10%,29 : 71,301–350,44.0–46.3,48.1,49.0,42.4,77.9,31.4,2019
301–350,University of Naples Federico IIItalyCourses,"49,789",20.5,1%,56 : 44,301–350,44.0–46.3,36.0,22.6,77.7,38.0,29.9,2019
301–350,"National University of Ireland, GalwayIrelandCourses","13,888",26.8,18%,57 : 43,301–350,44.0–46.3,27.5,30.9,71.9,44.9,80.5,2019
301–350,University of NewcastleAustraliaCoursesEnquire,"22,220",20.9,17%,55 : 45,301–350,44.0–46.3,23.8,26.9,74.1,57.0,82.3,2019
301–350,University of New Mexico (Main campus)United StatesCoursesEnquire,"21,506",18.8,5%,55 : 45,301–350,44.0–46.3,27.8,32.0,78.7,37.3,32.0,2019
301–350,Oregon State UniversityUnited StatesCoursesEnquire,"24,280",16.2,11%,46 : 54,301–350,44.0–46.3,31.3,30.4,71.2,38.1,51.1,2019
301–350,University of PisaItalyCourses,"32,751",22.1,5%,52 : 48,301–350,44.0–46.3,32.2,25.2,79.5,40.8,39.9,2019
301–350,Politecnico di MilanoItalyCoursesExplore,"33,663",24.2,15%,34 : 66,301–350,44.0–46.3,33.2,34.7,63.3,68.9,57.4,2019
301–350,Reykjavík UniversityIcelandCourses,"3,110",27.2,7%,42 : 58,301–350,44.0–46.3,13.6,17.6,99.9,36.2,62.7,2019
301–350,Southern University of Science and Technology (SUSTech)ChinaCoursesExplore,"2,115",6.3,0%,33 : 67,301–350,44.0–46.3,22.1,17.8,89.0,37.5,61.9,2019
301–350,Stellenbosch UniversitySouth AfricaCoursesExplore,"23,750",26.0,8%,55 : 45,301–350,44.0–46.3,28.5,34.1,65.8,60.4,54.0,2019
301–350,Sun Yat-sen UniversityChinaCoursesExplore,"51,061",16.2,9%,51 : 49,301–350,44.0–46.3,42.6,33.6,60.8,55.8,34.3,2019
301–350,University of TartuEstoniaCourses,"8,518",11.3,6%,68 : 32,301–350,44.0–46.3,25.1,26.4,81.1,36.8,51.9,2019
301–350,Technion Israel Institute of TechnologyIsraelCourses,"14,703",21.8,5%,36 : 64,301–350,44.0–46.3,35.7,33.1,59.3,42.6,64.1,2019
301–350,The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire,"25,720",16.7,5%,,301–350,44.0–46.3,33.7,23.2,82.2,41.3,44.7,2019
301–350,TU Dortmund UniversityGermanyCourses,"33,665",102.0,10%,45 : 55,301–350,44.0–46.3,36.0,40.2,59.6,44.9,43.7,2019
301–350,Tulane UniversityUnited StatesCoursesEnquireAdmissions Support,"11,120",10.5,11%,57 : 43,301–350,44.0–46.3,43.2,23.4,73.1,37.0,41.1,2019
301–350,Umeå UniversitySwedenCourses,"16,762",11.9,11%,60 : 40,301–350,44.0–46.3,24.0,29.4,80.9,36.9,62.5,2019
301–350,University College CorkIrelandCourses,"16,578",22.2,18%,57 : 43,301–350,44.0–46.3,25.8,28.4,68.9,49.9,80.1,2019
301–350,Université de Versailles Saint-Quentin-en-YvelinesFranceCourses,"16,817",24.1,14%,59 : 41,301–350,44.0–46.3,18.3,22.9,94.2,35.7,62.2,2019
301–350,Victoria UniversityAustraliaCoursesEnquire,"15,153",31.1,19%,53 : 47,301–350,44.0–46.3,23.4,25.0,78.0,41.8,74.8,2019
301–350,University of VictoriaCanadaCoursesEnquire,"19,286",23.4,21%,56 : 44,301–350,44.0–46.3,21.9,28.0,71.6,43.0,86.5,2019
301–350,Washington State UniversityUnited StatesCoursesEnquire,"27,689",19.3,8%,52 : 48,301–350,44.0–46.3,31.3,28.4,75.2,51.5,48.3,2019
301–350,Wayne State UniversityUnited StatesCoursesEnquire,"22,123",11.0,9%,55 : 45,301–350,44.0–46.3,33.7,17.7,82.2,43.9,38.1,2019
301–350,Wuhan UniversityChinaCoursesExplore,"50,015",14.2,8%,,301–350,44.0–46.3,48.0,34.1,47.1,87.3,40.4,2019
351–400,Aberystwyth UniversityUnited KingdomCoursesEnquire,"7,163",15.7,18%,47 : 53,351–400,41.7–43.9,26.2,24.0,67.8,37.9,75.0,2019
351–400,Aston UniversityUnited KingdomCoursesEnquire,"9,926",21.6,29%,49 : 51,351–400,41.7–43.9,23.0,24.3,65.2,36.0,93.2,2019
351–400,Autonomous University of MadridSpainCourses,"29,532",13.4,14%,59 : 41,351–400,41.7–43.9,33.9,28.4,64.8,37.8,51.1,2019
351–400,Babol Noshirvani University of TechnologyIranCourses,"5,353",30.9,0%,33 : 67,351–400,41.7–43.9,13.6,21.3,100.0,47.8,16.0,2019
351–400,"University of California, MercedUnited StatesCoursesEnquire","6,680",19.3,8%,51 : 49,351–400,41.7–43.9,16.2,20.5,96.4,37.8,40.1,2019
351–400,"City, University of LondonUnited KingdomCoursesEnquire","14,067",18.7,53%,56 : 44,351–400,41.7–43.9,23.4,26.1,67.5,35.4,94.5,2019
351–400,University of Côte d’AzurFranceCourses,"35,112",21.8,23%,55 : 45,351–400,41.7–43.9,27.1,16.5,74.5,38.8,82.4,2019
351–400,University of CreteGreeceCourses,"14,890",27.8,4%,61 : 39,351–400,41.7–43.9,18.0,19.1,87.9,39.8,47.6,2019
351–400,University of CyprusCyprusCoursesExplore,"6,861",22.7,10%,67 : 33,351–400,41.7–43.9,20.7,26.4,68.0,49.0,79.8,2019
351–400,Deakin UniversityAustraliaCoursesEnquire,"37,330",30.3,19%,58 : 42,351–400,41.7–43.9,23.3,28.8,67.9,38.3,81.3,2019
351–400,Drexel UniversityUnited StatesCoursesEnquire,"19,650",10.5,18%,49 : 51,351–400,41.7–43.9,36.2,19.3,67.9,40.6,50.7,2019
