Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
969,Southern Medical University China,"18,658",6.5,5%,59:41:00,19.0–25.9,26.5,11.2,19.8,39,21.6,2019,China
970,University of South Wales United Kingdom,"16,500",17.5,20%,52:48:00,19.0–25.9,14.9,9.5,28.5,34.5,62.2,2019,United Kingdom
971,Sri Venkateswara University India,"7,747",17.3,0%,40 : 60,19.0–25.9,36.6,9.7,27.2,34.6,19.1,2019,India
972,Staffordshire University United Kingdom,"9,456",15.3,14%,50:50:00,19.0–25.9,16.3,9.3,38.4,34.2,50.8,2019,United Kingdom
973,Sultan Qaboos University Oman,"7,624",8.9,3%,50:50:00,19.0–25.9,22.6,10.5,16.8,40.8,72,2019,Oman
974,Suranaree University of Technology Thailand,"15,068",31.9,1%,54:46:00,19.0–25.9,19.7,11.3,35.1,40.5,32.1,2019,Thailand
975,University of Talca Chile,"10,628",23.6,1%,52:48:00,19.0–25.9,13,10.8,25.2,34,50.5,2019,Chile
976,Tanta University Egypt,"138,971",28.2,2%,56:44:00,19.0–25.9,32.8,7.2,26.1,34.1,40.4,2019,Egypt
977,Teesside University United Kingdom,"11,580",17.9,12%,56:44:00,19.0–25.9,15.4,10,39.9,34.3,52.6,2019,United Kingdom
978,Universiti Tenaga Nasional ( U N I T E N) Malaysia,"7,893",17.7,7%,40 : 60,19.0–25.9,15.7,13.1,24.6,81,35.1,2019,Malaysia
979,Texas State University United States,"31,120",19.7,1%,58:42:00,19.0–25.9,17.4,11.7,24.4,34.4,30.5,2019,United States
980,Thapar University India,"7,503",15.5,1%,28 : 72,19.0–25.9,19.9,9.1,34,35.7,18.5,2019,India
981,Toho University Japan,"5,096",13.4,0%,50:50:00,19.0–25.9,18.2,13.8,24.6,38.7,16.9,2019,Japan
982,Tokushima University Japan,"7,566",8.8,2%,35 : 65,19.0–25.9,25.3,18.8,15.6,58.6,21.2,2019,Japan
983,Tokyo University of Agriculture and Technology Japan,"5,795",14.9,6%,30 : 70,19.0–25.9,26.1,23.6,20.2,46.6,23.9,2019,Japan
984,Tokyo Medical University Japan,"1,333",1.5,0%,50:50:00,19.0–25.9,29.4,11.4,36.6,36.9,16.1,2019,Japan
985,Tokyo University of Science Japan,"19,162",24.8,2%,0.929861111,19.0–25.9,21,24.5,23.3,41.2,19.4,2019,Japan
986,Toyohashi University of Technology ( T U T) Japan,"2,350",9.9,7%,0.438194444,19.0–25.9,20.4,17.6,17.7,47.2,25.3,2019,Japan
987,Tribhuvan University Nepal,"359,377",44.6,0%,44:56:00,19.0–25.9,9.2,6.6,35.7,34,45.2,2019,Nepal
988,Tshwane University of Technology South Africa,"42,846",32.3,2%,52:48:00,19.0–25.9,13.1,9.8,36.9,38.2,40.2,2019,South Africa
989,Universiti Utara Malaysia Malaysia,"13,171",12.1,23%,65:35:00,19.0–25.9,27.6,20.2,3.7,36.9,53.2,2019,Malaysia
990,Vilnius University Lithuania,"16,773",11.6,8%,65:35:00,19.0–25.9,18.5,13.8,32.3,42.7,50,2019,Lithuania
991,V I T University India,"30,941",17.9,3%,27 : 73,19.0–25.9,18.4,10.8,28.7,36.8,23.4,2019,India
992,Warsaw University of Technology Poland,"31,672",13.4,5%,34 : 66,19.0–25.9,18.2,10.6,38.1,39.5,24.6,2019,Poland
993,Wuhan University of Technology China,"50,924",14,3%,30 : 70,19.0–25.9,17,12.1,31.6,54.4,21.4,2019,China
994,Xiangtan University China,"30,928",21.2,1%,53:47:00,19.0–25.9,13.3,11.2,46.8,38.2,17.8,2019,China
995,Xidian University China,"33,258",17.4,2%,29 : 71,19.0–25.9,20.3,16.1,24.4,75.3,19.3,2019,China
996,Yamagata University Japan,"8,955",8.6,1%,35 : 65,19.0–25.9,21.1,11.5,20.9,52.8,21.1,2019,Japan
997,University of Yamanashi Japan,"4,725",6.4,4%,31 : 69,19.0–25.9,24.2,10.7,23.8,36.5,20.8,2019,Japan
998,Yangzhou University China,"36,362",16,3%,55:45:00,19.0–25.9,14.1,9.4,37,40.6,19.4,2019,China
999,Yokohama National University Japan,"9,972",12.6,7%,29 : 71,19.0–25.9,22.9,17.8,15,49.3,24.9,2019,Japan
1000,University of Zagreb Croatia,"66,967",18.7,1%,50:50:00,19.0–25.9,17.5,12.7,23,37,29.6,2019,Croatia
1001,Ain Shams University Egypt,"171,700",17.4,3%,52:48:00,9.8–18.9,17.6,8.7,17.4,35.5,36.1,2019,Egypt
1002,Akdeniz University Turkey,"50,491",32,3%,55:45:00,9.8–18.9,13.6,14.3,16.5,96.5,19.6,2019,Turkey
1003,Akita University Japan,"5,074",9.2,4%,35 : 65,9.8–18.9,19.5,9.5,9.4,40.3,21.2,2019,Japan
1004,Al- Azhar University Egypt,"318,158",41.9,5%,44:56:00,9.8–18.9,13.3,8.4,12.6,34.1,46.7,2019,Egypt
1005,Alexandru Ioan Cuza University Romania,"23,255",19.1,6%,65:35:00,9.8–18.9,15.3,11.4,12.9,34,36.1,2019,Romania
1006,Alzahra University Iran,"10,590",24.4,1%,100:00:00,9.8–18.9,17,9.2,20.1,35.5,14.1,2019,Iran
1007,Amity University India,"27,278",14,5%,43:57:00,9.8–18.9,14.9,8.5,15.6,35.4,19,2019,India
1008,"University of the Andes, Venezuela Venezuela","47,565",19,0%,62:38:00,9.8–18.9,13.2,7.4,9.5,34,44.8,2019,Venezuela
1009,Andhra University India,"9,752",16.8,4%,51:49:00,9.8–18.9,37.4,9.9,5,42.5,17,2019,India
1010,Universidad Andrés Bello ( U N A B) Chile,"44,436",23.5,1%,52:48:00,9.8–18.9,11.8,7.4,27.8,34.2,48.5,2019,Chile
1011,Ankara University Turkey,"69,324",18,4%,52:48:00,9.8–18.9,18.1,9.6,11.6,34.6,21.7,2019,Turkey
1012,Annamalai University India,"27,369",14.1,2%,42:58:00,9.8–18.9,26,8.1,16.7,34.4,15.4,2019,India
1013,University of Antioquia Colombia,"40,505",23.3,0%,51:49:00,9.8–18.9,16.4,20.4,13,40.2,38,2019,Colombia
1014,Aoyama Gakuin University Japan,"19,520",8.2,3%,47:53:00,9.8–18.9,18.1,7.3,24.6,34.3,25.1,2019,Japan
1015,Assiut University Egypt,"79,183",17.9,0%,45:55:00,9.8–18.9,14.1,7.2,19.9,34,44.3,2019,Egypt
1016,Autonomous University of Baja California Mexico,"59,812",20.4,2%,53:47:00,9.8–18.9,12.4,8.4,6.8,34.8,29.7,2019,Mexico
1017,Universidad Autónoma del Estado de Hidalgo Mexico,"33,839",17.9,0%,56:44:00,9.8–18.9,14,8,5.4,36,22.3,2019,Mexico
1018,Universidad Autónoma de Nuevo León ( U A N L) Mexico,"102,466",27.2,1%,,9.8–18.9,12.3,7.5,10.1,35,29.4,2019,Mexico
1019,Benemérita Universidad Autónoma de Puebla Mexico,"78,390",35.2,0%,53:47:00,9.8–18.9,13.3,7.6,13.7,34,24.8,2019,Mexico
1020,Autonomous University of San Luis Potosi Mexico,"31,102",9.3,1%,50:50:00,9.8–18.9,18.1,7.2,10.7,34.6,31.7,2019,Mexico
1021,Universidad Autónoma del Estado de Mexico ( U A E Mex) Mexico,"57,087",23.2,0%,59:41:00,9.8–18.9,13.8,10,7.3,44,25,2019,Mexico
1022,Universidad Autónoma de Yucatán Mexico,"16,570",14.9,0%,49:51:00,9.8–18.9,14.3,7.9,11.5,36.9,27.2,2019,Mexico
1023,Badji Mokhtar University – Annaba Algeria,"40,514",33.6,1%,52:48:00,9.8–18.9,13.4,9.3,13,34.1,32.7,2019,Algeria
1024,Bahauddin Zakariya University Pakistan,"24,532",30.2,0%,44:56:00,9.8–18.9,12.3,8.5,13.9,34,31.3,2019,Pakistan
1025,Bahçeşehir University Turkey,"14,159",34.2,12%,48:52:00,9.8–18.9,15.3,12.3,18.5,41.1,40.6,2019,Turkey
1026,Belarusian State University Belarus,"29,230",9.2,8%,65:35:00,9.8–18.9,19.5,8.7,10.8,39,56.7,2019,Belarus
1027,University of Bío- Bío Chile,"12,893",24.7,1%,42:58:00,9.8–18.9,12.8,7.9,5.9,36.5,43.8,2019,Chile
1028,University of Birjand Iran,"11,347",28.7,1%,56:44:00,9.8–18.9,15.2,7.9,7.7,34.2,15.3,2019,Iran
1029,Birmingham City University United Kingdom,"19,618",18.8,22%,62:38:00,9.8–18.9,14.7,9.9,18.5,34.3,57.9,2019,United Kingdom
1030,Bucharest University of Economic Studies Romania,"21,447",11.8,3%,47:53:00,9.8–18.9,14.7,8.2,14.6,34,31.1,2019,Romania
1031,Canterbury Christ Church University United Kingdom,"11,728",18.7,12%,67:33:00,9.8–18.9,15.6,11.3,13.2,34,42.5,2019,United Kingdom
1032,Catholic University of the North Chile,"11,669",20.5,2%,45:55:00,9.8–18.9,13.5,11,16.6,34.5,52.1,2019,Chile
1033,Ceará State University Brazil,"17,934",16.3,0%,56:44:00,9.8–18.9,16.2,7.7,8.6,34,16.1,2019,Brazil
1034,Chaoyang University of Technology Taiwan,"17,017",43.3,8%,56:44:00,9.8–18.9,12,10.8,4.7,41.4,22.5,2019,Taiwan
1035,University of Chester United Kingdom,"10,303",17.5,10%,66:34:00,9.8–18.9,16.3,11.9,20.7,35.1,43.2,2019,United Kingdom
1036,Chiba Institute of Technology Japan,"9,774",30.7,1%,0.561111111,9.8–18.9,13.6,8.8,6.3,36.4,16,2019,Japan
1037,Chubu University Japan,"12,661",24.8,1%,26 : 74,9.8–18.9,12.5,9.5,14.3,36.3,25.7,2019,Japan
1038,Chungnam National University South Korea,"22,773",21.7,4%,44:56:00,9.8–18.9,21.7,19.9,11.6,40.5,22.7,2019,South Korea
1039,Chuo University Japan,"26,698",37.9,4%,35 : 65,9.8–18.9,26.1,9.8,14.1,36.4,21.5,2019,Japan
1040,Cochin University of Science and Technology India,"8,147",19.2,0%,36 : 64,9.8–18.9,21.7,10,7.2,34.7,14.5,2019,India
1041,University of Colombo Sri Lanka,"29,464",29.5,0%,56:44:00,9.8–18.9,24.8,7.8,10.7,34,39.8,2019,Lanka
1042,University of Concepción Chile,"27,077",17.5,1%,51:49:00,9.8–18.9,14.8,13.3,18.2,55.1,48.5,2019,Chile
1043,Université Frères Mentouri Constantine 1 Algeria,"33,735",19.4,0%,55:45:00,9.8–18.9,17.6,7.2,7.1,34.8,37.5,2019,Algeria
1044,Corvinus University of Budapest Hungary,"10,404",24.7,14%,54:46:00,9.8–18.9,15.5,11.2,20.3,34.2,42.8,2019,Hungary
1045,Cukurova University Turkey,"41,446",18.7,4%,45:55:00,9.8–18.9,14.4,12.4,11.2,87.6,19.1,2019,Turkey
1046,University of Dar es Salaam Tanzania,"25,282",15.2,0%,33 : 67,9.8–18.9,14.4,8.2,18.5,34,45.6,2019,Tanzania
1047,Del Rosario University Colombia,"9,568",12.5,1%,,9.8–18.9,15.6,8.9,18.1,34.2,45.6,2019,Colombia
1048,Democritus University of Thrace Greece,"29,386",46.9,3%,54:46:00,9.8–18.9,13.6,8.1,28,34.9,30.3,2019,Greece
1049,Dokuz Eylül University Turkey,"63,639",19.2,2%,47:53:00,9.8–18.9,14.7,8.9,16.4,40.3,17.6,2019,Turkey
1050,Doshisha University Japan,"28,311",18.9,4%,40 : 60,9.8–18.9,14.5,9.2,6.4,35.1,26.8,2019,Japan
1051,"University of Economics, Prague Czech Republic","14,945",29.2,22%,54:46:00,9.8–18.9,16.8,12.7,6.5,34.4,44.3,2019,Czech Republic
1052,Ehime University Japan,"9,419",12.8,3%,37 : 63,9.8–18.9,21,13.8,17.7,41.7,25.5,2019,Japan
1053,The University of Electro- Communications Japan,"4,806",15.7,6%,0.520138889,9.8–18.9,18.4,18.6,13.2,40.3,28,2019,Japan
1054,University of Engineering & Technology ( U E T) Lahore Pakistan,"12,467",13.9,2%,1.011805556,9.8–18.9,14.4,7.7,13.8,34.2,43.8,2019,Pakistan
1055,Far Eastern Federal University Russian Federation,"15,480",9.4,15%,,9.8–18.9,20.7,10.5,10.3,38.6,39.3,2019,Russian Federation
1056,Universidade Federal do Ceará ( U F C) Brazil,"31,719",14.6,1%,47:53:00,9.8–18.9,22.4,9.9,21.4,36,24.1,2019,Brazil
1057,Federal University of Goiás Brazil,"29,558",13.3,0%,44:56:00,9.8–18.9,18.5,9.4,13.3,37.6,18.3,2019,Brazil
1058,Federal University of Itajubá Brazil,"8,997",18.2,1%,29 : 71,9.8–18.9,15.7,8.6,10.2,36.6,21.4,2019,Brazil
1059,Federal University of Lavras Brazil,"15,389",22.1,1%,52:48:00,9.8–18.9,25.2,13.3,7.8,37.6,17.9,2019,Brazil
1060,Federal University of Pará Brazil,"49,435",20.7,0%,56:44:00,9.8–18.9,16.1,9.1,9.6,34.5,23.2,2019,Brazil
1061,Universidade Federal do Paraná ( U F P R) Brazil,"32,952",12.8,0%,51:49:00,9.8–18.9,19.6,11,10.1,34,20.8,2019,Brazil
1062,Federal University of Pernambuco Brazil,"38,264",14.7,1%,50:50:00,9.8–18.9,23.6,8.9,14.1,36.7,21.4,2019,Brazil
1063,Federal University of Rio Grande do Norte ( U F R N) Brazil,"39,365",16.3,0%,56:44:00,9.8–18.9,18.7,8.4,16,41.9,22.1,2019,Brazil
1064,Federal University of Santa Maria Brazil,"26,334",13.8,0%,56:44:00,9.8–18.9,18.4,8.4,11.4,35.8,16.5,2019,Brazil
1065,Universidade Tecnológica Federal do Paraná ( U T F P R) Brazil,"33,025",13.2,1%,36 : 64,9.8–18.9,14.3,8.6,7.2,36.8,18.1,2019,Brazil
1066,Federal University of Uberlândia Brazil,"20,461",11.5,%,,9.8–18.9,23.7,9.2,9.7,34.3,16.7,2019,Brazil
1067,Federal University of Viçosa Brazil,"17,340",14.6,2%,51:49:00,9.8–18.9,27.5,13.4,10.6,45.8,19.4,2019,Brazil
1068,Feng Chia University Taiwan,"19,811",23.3,15%,37 : 63,9.8–18.9,15.3,16.7,16.6,39.5,36.8,2019,Taiwan
1069,Fluminense Federal University Brazil,"68,410",19,0%,49:51:00,9.8–18.9,16.7,9.6,11,34.3,24.6,2019,Brazil
1070,University of Fukui Japan,"4,999",9.2,4%,29 : 71,9.8–18.9,20.3,11,7.2,39.6,20.2,2019,Japan
1071,Universitas Gadjah Mada Indonesia,"41,201",10.5,1%,54:46:00,9.8–18.9,19.6,10.1,12.8,61.2,32.9,2019,Indonesia
1072,Gazi University Turkey,"79,733",31.5,3%,49:51:00,9.8–18.9,19.1,10.7,12.9,38.4,16.2,2019,Turkey
1073,"G. B. Pant University of Agriculture & Technology, Pantnagar India","4,389",7.5,0%,43:57:00,9.8–18.9,22.9,7.5,5.2,37.8,12.7,2019,India
1074,University of Gdańsk Poland,"29,683",17.6,2%,61:39:00,9.8–18.9,14.9,10,20.2,34.1,28.2,2019,Poland
1075,Gdańsk University of Technology Poland,"23,017",18.7,2%,40 : 60,9.8–18.9,13.9,10.5,29.1,37.7,20,2019,Poland
1076,Gifu University Japan,"7,161",7.9,4%,35 : 65,9.8–18.9,22.4,10.9,15.3,36.7,22.2,2019,Japan
1077,G I T A M University India,"16,223",14.7,2%,32 : 68,9.8–18.9,14.9,7.4,8.7,34.8,18.6,2019,India
1078,Government College University Lahore Pakistan,"8,841",33.5,1%,43:57:00,9.8–18.9,16.6,9.7,4.3,34.1,40.3,2019,Pakistan
1079,Grigore T. Popa University of Medicine and Pharmacy Romania,"9,602",11.4,29%,66:34:00,9.8–18.9,17.1,7.6,10.6,34.2,46,2019,Romania
1080,University of Guadalajara Mexico,"120,298",52.4,0%,52:48:00,9.8–18.9,14.6,7.6,10.8,34,29,2019,Mexico
1081,University of Guanajuato Mexico,"24,798",16.6,1%,52:48:00,9.8–18.9,15,7.8,14.3,34,32.9,2019,Mexico
1082,Guangxi University China,"34,199",15.8,5%,46:54:00,9.8–18.9,14.5,9.6,11.5,42.6,20.6,2019,China
1083,Gunma University Japan,"6,362",7.3,3%,37 : 63,9.8–18.9,26,13.6,14.3,36.8,18.8,2019,Japan
1084,Hallym University South Korea,"8,372",9.8,4%,,9.8–18.9,18.2,14.8,14.6,35.2,20.3,2019,South Korea
1085,Harbin Engineering University China,"24,124",14.1,2%,26 : 74,9.8–18.9,20.7,19,11.5,80.5,16.1,2019,China
1086,The Hashemite University Jordan,"16,879",16.8,4%,58:42:00,9.8–18.9,12.4,9.7,6.1,34,47,2019,Jordan
1087,Université Hassan I I de Casablanca Morocco,"100,095",30.7,2%,53:47:00,9.8–18.9,14.7,6.9,19.5,34.4,38,2019,Morocco
1088,Helwan University Egypt,"154,964",36,1%,58:42:00,9.8–18.9,15.7,7.5,17.7,34.3,40.2,2019,Egypt
1089,Hosei University Japan,"30,364",41,2%,36 : 64,9.8–18.9,15.6,9.1,23.8,34.9,23.6,2019,Japan
1090,Huaqiao University China,"29,637",17.8,11%,49:51:00,9.8–18.9,12.8,9.4,20.5,38.1,45.1,2019,China
1091,University of Hyogo Japan,"6,607",14,2%,39 : 61,9.8–18.9,16.1,12.9,10.2,44.6,17.5,2019,Japan
1092,Ibaraki University Japan,"8,153",12,3%,35 : 65,9.8–18.9,16.9,9.3,9,37.4,22.4,2019,Japan
1093,Imam Abdulrahman Bin Faisal University Saudi Arabia,"28,627",10.6,3%,78:22:00,9.8–18.9,19.3,7.2,7,34.5,72,2019,Saudi Arabia
1094,Incheon National University South Korea,"13,807",23,2%,44:56:00,9.8–18.9,16.4,12.9,21.3,36.2,31.6,2019,South Korea
1095,I P B University Indonesia,"23,044",13.1,1%,58:42:00,9.8–18.9,17.7,8.9,10.9,65.4,33.7,2019,Indonesia
1096,I- Shou University Taiwan,"16,425",31.1,9%,47:53:00,9.8–18.9,13.2,15.4,13.6,47.3,27.7,2019,Taiwan
1097,Ivane Javakhishvili Tbilisi State University Georgia,"20,225",24.8,2%,62:38:00,9.8–18.9,15.2,9,2.9,34.4,44.6,2019,Georgia
1098,Ivan Franko National University of Lviv Ukraine,"18,210",9.6,1%,75:25:00,9.8–18.9,19.7,7.6,3.2,34,36.4,2019,Ukraine
1099,Iwate University Japan,"5,626",14.7,3%,37 : 63,9.8–18.9,18.3,9.8,15,43,21.6,2019,Japan
1100,Izmir Institute of Technology Turkey,"5,035",22.7,3%,46:54:00,9.8–18.9,15.8,10.3,25.3,41.9,30.2,2019,Turkey
1101,Kagoshima University Japan,"10,498",10.2,3%,38 : 62,9.8–18.9,20.9,11.5,16.8,41.9,21.4,2019,Japan
1102,Kanagawa University Japan,"18,541",13.8,3%,28 : 72,9.8–18.9,13.9,7.2,11.9,34,28,2019,Japan
1103,Kansai University Japan,"30,401",12,3%,39 : 61,9.8–18.9,23.4,7.9,5.2,35.1,22.7,2019,Japan
1104,Kasetsart University Thailand,"68,213",22.9,1%,62:38:00,9.8–18.9,17.2,11.4,10.3,56.5,36.1,2019,Thailand
1105,Kaunas University of Technology Lithuania,"10,146",14,5%,38 : 62,9.8–18.9,15.6,11.1,4.1,37.5,24.9,2019,Lithuania
1106,Kazan National Research Technological University Russian Federation,"15,631",10.6,10%,47:53:00,9.8–18.9,16.1,7.3,17.4,48,23.5,2019,Russian Federation
1107,University of Kerala India,"8,210",19.3,0%,56:44:00,9.8–18.9,32.3,8.4,11.9,34.2,13.8,2019,India
1108,Kharazmi University Iran,"13,129",20.7,1%,57:43:00,9.8–18.9,19,9,19.1,35.4,15.9,2019,Iran
1109,Khon Kaen University Thailand,"36,280",18.5,2%,56:44:00,9.8–18.9,21.5,11,17.2,49.8,31.5,2019,Thailand
1110,K I I T University India,"19,633",14,2%,37 : 63,9.8–18.9,15.3,7.5,24.4,34.3,15.1,2019,India
1111,King Mongkut’s Institute of Technology Ladkrabang Thailand,"22,938",22.4,0%,53:47:00,9.8–18.9,15.4,20.2,6.7,84,18.3,2019,Thailand
1112,King Mongkut's University of Technology North Bangkok Thailand,"25,542",24.1,0%,40 : 60,9.8–18.9,15.4,9,13.3,38.4,21.6,2019,Thailand
1113,Kitasato University Japan,"8,539",5.3,0%,53:47:00,9.8–18.9,23.5,9.2,18.8,41.9,15.7,2019,Japan
1114,Kogakuin University Japan,"6,531",17,1%,0.684027778,9.8–18.9,15.5,9.3,9.1,40.7,17.8,2019,Japan
1115,Kookmin University South Korea,"17,299",11.1,9%,45:55:00,9.8–18.9,17.5,9.6,17,36.9,27.5,2019,South Korea
1116,Kwansei Gakuin University Japan,"23,965",21.1,3%,48:52:00,9.8–18.9,14.1,8.3,10.7,34.7,30.4,2019,Japan
1117,Kyoto Institute of Technology Japan,"4,060",13.2,5%,27 : 73,9.8–18.9,20.2,15.1,11.2,41.7,21,2019,Japan
1118,University of Lahore Pakistan,"24,674",14.3,2%,35 : 65,9.8–18.9,13.3,8.7,27.1,34.1,33.9,2019,Pakistan
1119,University of León Spain,"12,303",14.6,5%,56:44:00,9.8–18.9,17.4,10.1,23.6,35.7,34.1,2019,Spain
1120,L. N. Gumilyov Eurasian National University Kazakhstan,"16,155",4.9,3%,,9.8–18.9,21.7,7.6,12.6,34,48.1,2019,Kazakhstan
1121,Lobachevsky State University of Nizhni Novgorod Russian Federation,"18,205",8,7%,53:47:00,9.8–18.9,23.6,10.7,13,43.2,27.6,2019,Russian Federation
1122,University of Łódź Poland,"33,758",15.2,4%,65:35:00,9.8–18.9,15.9,10,13.1,34.1,22.9,2019,Poland
1123,Lodz University of Technology Poland,"17,115",13.1,3%,41:59:00,9.8–18.9,15.9,10.6,15.9,36.8,21.6,2019,Poland
1124,London South Bank University United Kingdom,"11,965",17.1,34%,56:44:00,9.8–18.9,14.5,10,15.8,34.5,71.3,2019,United Kingdom
1125,Londrina State University Brazil,"23,392",13.7,1%,57:43:00,9.8–18.9,21.3,19.5,14,34,17.5,2019,Brazil
1126,Lviv Polytechnic National University Ukraine,"22,520",11,1%,39 : 61,9.8–18.9,17.7,8.7,20.9,34.5,24.1,2019,Ukraine
1127,Maharaja Sayajirao University of Baroda India,"34,111",27.3,0%,58:42:00,9.8–18.9,12.6,8.6,13.7,34.5,13.9,2019,India
1128,Mahasarakham University Thailand,"43,552",34.4,0%,63:37:00,9.8–18.9,13.3,7.1,6.3,34.8,23.6,2019,Thailand
1129,Universiti Malaysia Sarawak ( U N I M A S) Malaysia,"15,426",19.2,5%,65:35:00,9.8–18.9,15.6,8.6,8.6,34.3,37.7,2019,Malaysia
1130,Manipal Academy of Higher Education India,"25,145",9.7,8%,43:57:00,9.8–18.9,20.2,9.5,6.5,34.1,26.6,2019,India
1131,Marmara University Turkey,"72,603",35.7,4%,52:48:00,9.8–18.9,13.5,7.3,18.4,34,22.2,2019,Turkey
1132,Meiji University Japan,"32,270",29.8,4%,32 : 68,9.8–18.9,14.7,11.3,13.8,72.7,24.1,2019,Japan
1133,Meijo University Japan,"15,422",32.6,2%,27 : 73,9.8–18.9,14.7,9.6,8.8,35.2,23.5,2019,Japan
1134,Menoufia University Egypt,"82,327",38.7,1%,44:56:00,9.8–18.9,13.4,7.4,15.5,36.6,36,2019,Egypt
1135,Universidad Michoacana de San Nicolás de Hidalgo Mexico,"39,392",29,1%,51:49:00,9.8–18.9,17,8.9,11,35,29.8,2019,Mexico
1136,Ming Chuan University Taiwan,"18,800",22.7,11%,60:40:00,9.8–18.9,12.2,10.3,6.9,34.8,29.1,2019,Taiwan
1137,Minia University Egypt,"58,870",15.9,1%,61:39:00,9.8–18.9,14.3,7,13.2,34.1,44.6,2019,Egypt
1138,M I R E A - Russian Technological University Russian Federation,"16,441",14.9,3%,31 : 69,9.8–18.9,13.3,9.2,6.4,58.6,18,2019,Russian Federation
1139,University of Miyazaki Japan,"5,507",8.3,2%,35 : 65,9.8–18.9,20.4,9.4,19.5,35.9,21.4,2019,Japan
1140,University of Monastir Tunisia,"21,267",11.3,1%,68:32:00,9.8–18.9,19.8,8.6,12.6,34,41.8,2019,Tunisia
1141,Moscow Aviation Institute Russian Federation,"15,263",10.5,9%,28 : 72,9.8–18.9,23.4,11.1,1.8,53.8,22.6,2019,Russian Federation
1142,Moscow Power Engineering Institute Russian Federation,"11,252",15.4,9%,38 : 62,9.8–18.9,18.4,24.1,2.6,53.9,27.4,2019,Russian Federation
1143,Muroran Institute of Technology Japan,"3,320",18,4%,0.438194444,9.8–18.9,14.2,9.3,22.4,38.2,28.5,2019,Japan
1144,University of Mysore India,"7,944",20.3,8%,43:57:00,9.8–18.9,33,9.1,4.7,34.3,27.5,2019,India
1145,Nagaoka University of Technology Japan,"2,388",10.3,12%,0.520138889,9.8–18.9,21.7,13.5,12.2,39.8,32.4,2019,Japan
1146,Nagoya Institute of Technology Japan,"5,637",16.1,4%,0.643055556,9.8–18.9,18.1,14,14.7,53.4,22,2019,Japan
1147,University of Nairobi Kenya,"72,466",40.4,1%,36 : 64,9.8–18.9,13.7,10.4,16.8,35.1,46.8,2019,Kenya
1148,Nara Medical University Japan,"1,202",3.6,1%,48:52:00,9.8–18.9,24.4,10.8,17.5,39.8,15,2019,Japan
1149,Naresuan University Thailand,"23,232",15.8,1%,66:34:00,9.8–18.9,16.1,7.3,13.3,35,33.6,2019,Thailand
1150,National Changhua University of Education Taiwan,"8,124",21.4,8%,53:47:00,9.8–18.9,17.2,18,11.5,37.4,22.9,2019,Taiwan
1151,National Chiayi University Taiwan,"12,537",26,4%,48:52:00,9.8–18.9,13.8,12.6,6,64,17.2,2019,Taiwan
1152,National Chung Cheng University Taiwan,"14,278",19.9,4%,37 : 63,9.8–18.9,16.9,18,13.3,40.6,19.7,2019,Taiwan
1153,National University of Colombia Colombia,"51,844",22,1%,38 : 62,9.8–18.9,19.3,14.7,13,34.2,36.2,2019,Colombia
1154,National University of Córdoba Argentina,"64,491",11.5,2%,63:37:00,9.8–18.9,19.4,9.4,21,34.7,32.8,2019,Argentina
1155,National University of Kaohsiung Taiwan,"5,599",23.5,4%,41:59:00,9.8–18.9,11.8,15.2,7.9,37.5,24.2,2019,Taiwan
1156,National University of La Plata Argentina,"118,688",23.9,5%,56:44:00,9.8–18.9,16.1,10.4,13.4,36,35.3,2019,Argentina
1157,Instituto Politécnico Nacional ( I P N) Mexico,"178,492",10.5,0%,38 : 62,9.8–18.9,17.8,9.2,10,35.3,21.2,2019,Mexico
1158,National Research University of Electronic Technology ( M I E T) Russian Federation,"4,197",11.6,3%,31 : 69,9.8–18.9,17.6,13.7,4.2,35.8,24,2019,Russian Federation
1159,National Research Saratov State University Russian Federation,"8,756",9.7,6%,60:40:00,9.8–18.9,20.7,13.1,16.6,37.6,31.2,2019,Russian Federation
1160,National University of the South Argentina,"20,325",6.9,1%,58:42:00,9.8–18.9,26.3,10,7.9,34,24.9,2019,Argentina
1161,Nicolaus Copernicus University in Toruń Poland,"23,670",12,2%,69:31:00,9.8–18.9,17.9,9.8,22.4,35,24.6,2019,Poland
1162,University of Nigeria Nsukka Nigeria,"32,429",14.2,1%,48:52:00,9.8–18.9,22.3,8.4,3.6,35,21.7,2019,Nigeria
1163,North China Electric Power University China,"30,412",16.7,1%,35 : 65,9.8–18.9,15.5,14.9,18.1,34,15.4,2019,China
1164,Ochanomizu University Japan,"2,947",14.2,5%,100:00:00,9.8–18.9,26.5,11.7,12.6,36.2,24.1,2019,Japan
1165,Oita University Japan,"5,682",9.4,1%,37 : 63,9.8–18.9,18.7,8.9,13.2,36.7,17.6,2019,Japan
1166,Ondokuz Mayis University Turkey,"33,790",30.5,6%,52:48:00,9.8–18.9,14.1,8.3,4.9,37.5,20.3,2019,Turkey
1167,Osaka Prefecture University Japan,"7,794",10,4%,36 : 64,9.8–18.9,20.8,14,19,42.5,20.8,2019,Japan
1168,University of Pardubice Czech Republic,"7,807",14.5,6%,55:45:00,9.8–18.9,16.5,13.6,10.8,34.7,25.8,2019,Czech Republic
